"RIGHT NUMBER","SUB_BASIN","YEAR","ALLOTMENT","FLEXIBILITY ACCT. BALANCE","FLEX. VARIANCE","CREDITS_AVAIL_FOR_SALE","AMA","IRRIGATION DISTRICT","BMP ENROLLEE","CONVEYANCE_DATE","ID"
"58-103979.0010","MARICOPA-STANFIELD","2012","713.31 AF","1823.47 AF","255.63%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","6038532"
"58-113307.0016","EAST SALT RIVER VALLEY","2015","60.45 AF","1542.48 AF","2551.66%","NONE","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","6265618"
"58-102903.0016","WEST SALT RIVER VALLEY","2014","355.05 AF","-25.76 AF","-7.26%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","6375658"
"58-100482.0011","ELOY","2019","164.79 AF","2576.37 AF","1563.43%","145.95 AF","PINAL AMA","SAN CARLOS","N","","5668068"
"58-104180.0003","ELOY","2018","772.33 AF","14375.69 AF","1861.34%","739 AF","PINAL AMA","SAN CARLOS","N","","5032984"
"58-111751.0002","ELOY","2025","560.56 AF","14122.22 AF","2519.31%","NONE","PINAL AMA","SAN CARLOS","N","","4993638"
"58-100509.0003","ELOY","2022","122.23 AF","2666.17 AF","2181.27%","122.23 AF","PINAL AMA","SAN CARLOS","N","","5039911"
"58-114246.0002","WEST SALT RIVER VALLEY","2022","99.93 AF","1302.46 AF","1303.37%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5142044"
"58-109194.0004","HASSAYAMPA","2019","42.38 AF","1271.47 AF","3000.17%","NONE","PHOENIX AMA","","N","","5143761"
"58-102597.0001","WEST SALT RIVER VALLEY","2020","88.64 AF","894.45 AF","1009.08%",".3 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","4996188"
"58-150070.0004","ELOY","2024","0 AF","3948.71 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","5118859"
"58-102284.0009","WEST SALT RIVER VALLEY","2025","27.51 AF","406.93 AF","1479.21%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5515780"
"58-150019.0001","MARICOPA-STANFIELD","2022","154.7 AF","2169.68 AF","1402.51%","154.7 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5515843"
"58-108234.0003","WEST SALT RIVER VALLEY","2021","93.73 AF","951.12 AF","1014.74%","35.77 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5522910"
"58-101553.0036","MARICOPA-STANFIELD","2021","21.81 AF","533.81 AF","2447.55%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5618109"
"58-111758.0028","ELOY","2024","22.77 AF","190.31 AF","835.79%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5667752"
"58-103117.0004","ELOY","2020","0 AF","-589.51 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","5895570"
"58-109179.0007","AVRA VALLEY","2018","2762.17 AF","32667.5 AF","1182.68%","2057.17 AF","TUCSON AMA","","N","","5944091"
"58-110252.0003","WEST SALT RIVER VALLEY","2021","240.38 AF","2056.58 AF","855.55%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","6074023"
"58-114619.0084","ELOY","2018","18.68 AF","463.28 AF","2480.09%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6255235"
"58-114619.0084","ELOY","2022","18.68 AF","519.32 AF","2780.09%","18.68 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6255235"
"58-101466.0007","ELOY","2006","21.38 AF","98.39 AF","460.2%","NONE","PINAL AMA","","N","","5117866"
