"RIGHT NUMBER","SUB_BASIN","YEAR","ALLOTMENT","FLEXIBILITY ACCT. BALANCE","FLEX. VARIANCE","CREDITS_AVAIL_FOR_SALE","AMA","IRRIGATION DISTRICT","BMP ENROLLEE","CONVEYANCE_DATE","ID"
"58-106096.0014","WEST SALT RIVER VALLEY","2021","90.48 AF","1587.19 AF","1754.19%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","7095611"
"58-101814.0012","ELOY","2012","33.83 AF","455.65 AF","1346.88%","33.83 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5038149"
"58-102732.0008","WEST SALT RIVER VALLEY","2013","386.4 AF","824.07 AF","213.27%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5150903"
"58-111782.0001","EAST SALT RIVER VALLEY","2013","10.95 AF","125.35 AF","1144.75%","NONE","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","5521554"
"58-104361.0014","MARICOPA-STANFIELD","2011","575.95 AF","9035.8 AF","1568.85%","271.11 AF","PINAL AMA","SAN CARLOS","N","","5492905"
"58-101813.0007","ELOY","2024","0 AF","34.62 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","5657401"
"58-114619.0078","ELOY","2019","0 AF","1838.54 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","5802364"
"58-150004.0011","ELOY","2024","572.35 AF","10312.99 AF","1801.87%","NONE","PINAL AMA","SAN CARLOS","N","","6695912"
"58-109708.0022","MARICOPA-STANFIELD","2019","581.58 AF","8363.83 AF","1438.12%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","6951611"
"58-106618.0006","HASSAYAMPA","2021","1248.81 AF","128.03 AF","10.25%","154.15 AF","PHOENIX AMA","","N","","7343151"
"58-111647.0016","WEST SALT RIVER VALLEY","2016","10.59 AF","25.89 AF","244.48%","5.85 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5147562"
"58-103257.0001","EAST SALT RIVER VALLEY","2007","67.6 AF","416.57 AF","616.23%","67.6 AF","PHOENIX AMA","SUN VALLEY FARMS UNIT II WTR","N","","5138944"
"58-112586.0002","EAST SALT RIVER VALLEY","2009","142.94 AF","100.66 AF","70.42%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5517320"
"58-104935.0010","EAST SALT RIVER VALLEY","2021","1191.51 AF","10301.95 AF","864.61%","530.11 AF","PHOENIX AMA","NEW MAGMA IRR & DRG DIST","N","","5000925"
"58-114619.0086","ELOY","2025","24.27 AF","675.06 AF","2781.46%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6255255"
"58-103530.0005","ELOY","2019","0 AF","480.12 AF","0%","NONE","PINAL AMA","SAN CARLOS","Y","","6556142"
"58-130150.0002","WEST SALT RIVER VALLEY","2008","68.96 AF","185.05 AF","268.34%","7.42 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5114500"
"58-100015.0006","ELOY","2011","2220.75 AF","17807.9 AF","801.89%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5513920"
"58-106659.0004","WEST SALT RIVER VALLEY","2019","345.58 AF","4724.35 AF","1367.08%","233.28 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5039768"
"58-110310.0010","WEST SALT RIVER VALLEY","2024","68.3 AF","2058.01 AF","3013.19%","NONE","PHOENIX AMA","","N","","5369440"
"58-106186.0003","HASSAYAMPA","2019","1576.48 AF","-8165.43 AF","-517.95%","NONE","PHOENIX AMA","ARLINGTON CANAL COMPANY","N","","5379690"
"58-103379.0004","ELOY","2025","0 AF","0 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","7373576"
"58-160065.0003","UPPER SANTA CRUZ","2025","62.5 AF","1296.37 AF","2074.19%","NONE","TUCSON AMA","","N","","7777090"
"58-104067.0009","MARICOPA-STANFIELD","2005","1995.96 AF","5832.98 AF","292.24%","NONE","PINAL AMA","","N","","5023065"
"58-111435.0009","ELOY","2006","50.4 AF","388.01 AF","769.86%","36.63 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5039430"
"58-111730.0001","ELOY","2015","191.21 AF","2833.74 AF","1482%","53.14 AF","PINAL AMA","SAN CARLOS","N","","5116064"
"58-104388.0003","ELOY","2009","359.56 AF","1930.36 AF","536.87%","8.59 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5343316"
"58-103319.0004","WEST SALT RIVER VALLEY","2009","603.37 AF","752.87 AF","124.78%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5497483"
"58-111828.0003","ELOY","2017","550.74 AF","6750.99 AF","1225.8%","414.67 AF","PINAL AMA","SAN CARLOS","N","","5788701"
"58-111242.0002","WEST SALT RIVER VALLEY","2012","202.8 AF","4291.45 AF","2116.1%","164.64 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5914683"
"58-115848.0004","AVRA VALLEY","2014","1443.69 AF","23731.61 AF","1643.82%","23731.61 AF","TUCSON AMA","","N","","6366340"
"58-150014.0002","MARICOPA-STANFIELD","2024","144.9 AF","1258.79 AF","868.73%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5344992"
"58-103857.0009","ELOY","2025","117.58 AF","2700.75 AF","2296.95%","NONE","PINAL AMA","","N","","5500892"
"58-102354.0008","WEST SALT RIVER VALLEY","2021","1550.45 AF","18246.14 AF","1176.83%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5899111"
"58-109711.0016","MARICOPA-STANFIELD","2009","38.36 AF","647.32 AF","1687.49%","38.36 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5026471"
"58-101272.0006","ELOY","2016","0 AF","11.99 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","5141758"
"58-130314.0001","WEST SALT RIVER VALLEY","2014","0 AF","121.7 AF","0%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","Y","","5117939"
"58-105130.0027","WEST SALT RIVER VALLEY","2016","566.85 AF","17442.53 AF","3077.1%","566.85 AF","PHOENIX AMA","","N","","5151161"
"58-111237.0004","WEST SALT RIVER VALLEY","2015","58.22 AF","465.92 AF","800.27%","40.55 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5114721"
"58-102756.0001","LITTLE CHINO","2008","63.25 AF","452.94 AF","716.11%","NONE","PRESCOTT AMA","","N","","5316620"
"58-112416.0007","UPPER SANTA CRUZ","2010","231.52 AF","4620.39 AF","1995.68%","231.52 AF","TUCSON AMA","","N","","5364028"
"58-100495.0004","ELOY","2010","0 AF","1573.64 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","5369672"
"58-102251.0001","ELOY","2009","296.74 AF","2782.6 AF","937.72%","224.71 AF","PINAL AMA","SAN CARLOS","N","","5371085"
"58-100900.0003","ELOY","2013","443.58 AF","1951.92 AF","440.04%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5347116"
"58-130439.0006","WEST SALT RIVER VALLEY","2015","18.55 AF","70.31 AF","379.03%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5373099"
"58-110669.0005","EAST SALT RIVER VALLEY","2007","571.86 AF","2002.97 AF","350.26%","571.86 AF","PHOENIX AMA","QUEEN CREEK IRRIGATION DIST","N","","5287297"
"58-110238.0004","EAST SALT RIVER VALLEY","2008","16.24 AF","87.24 AF","537.19%","16.24 AF","PHOENIX AMA","QUEEN CREEK IRRIGATION DIST","N","","5306695"
"58-101255.0006","WEST SALT RIVER VALLEY","2014","300.05 AF","2784.52 AF","928.02%","223.64 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5359024"
"58-109460.0007","WEST SALT RIVER VALLEY","2010","248.98 AF","2759.41 AF","1108.29%","18.95 AF","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5509823"
"58-101373.0002","WEST SALT RIVER VALLEY","2016","27.34 AF","320.83 AF","1173.48%",".97 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5467850"
"58-106867.0006","ELOY","2014","272.18 AF","719.91 AF","264.5%","8.76 AF","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","N","","5501664"
"58-102990.0012","WEST SALT RIVER VALLEY","2015","123.64 AF","862.96 AF","697.96%","NONE","PHOENIX AMA","MARICOPA WATER DISTRICT","N","","5493220"
"58-108234.0002","WEST SALT RIVER VALLEY","2010","481.53 AF","3009.88 AF","625.07%","195.01 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5522940"
"58-102101.0001","WEST SALT RIVER VALLEY","2014","72.31 AF","479.54 AF","663.17%","72.31 AF","PHOENIX AMA","ST JOHNS IRRIGATION DISTRICT","N","","5607579"
"58-150094.0003","ELOY","2012","298.9 AF","1596.21 AF","534.03%","262.91 AF","PINAL AMA","SAN CARLOS","N","","5788627"
"58-111838.0004","ELOY","2013","181.7 AF","3685.82 AF","2028.52%","181.7 AF","PINAL AMA","","N","","5896198"
"58-111290.0004","EAST SALT RIVER VALLEY","2016","250.86 AF","2831.7 AF","1128.8%","132.16 AF","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","5924262"
"58-100373.0008","RAINBOW VALLEY","2017","2217.51 AF","55580.26 AF","2506.43%","2217.51 AF","PHOENIX AMA","","N","","6042735"
"58-101839.0011","ELOY","2015","0 AF","5925.52 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","6097807"
"58-130695.0003","WEST SALT RIVER VALLEY","2017","261.53 AF","6545.15 AF","2502.64%","261.53 AF","PHOENIX AMA","","N","","6518266"
"58-104140.0004","WEST SALT RIVER VALLEY","2018","0 AF","1047.23 AF","0%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","Y","","5017410"
"58-110632.0002","WEST SALT RIVER VALLEY","2018","237.92 AF","1470.92 AF","618.24%","NONE","PHOENIX AMA","BUCKEYE WTR CON & DRG DIST","N","","5158352"
"58-105182.0003","WEST SALT RIVER VALLEY","2019","135.49 AF","37.76 AF","27.87%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5369340"
"58-102251.0001","ELOY","2023","296.74 AF","6259.56 AF","2109.44%","288.31 AF","PINAL AMA","SAN CARLOS","N","","5371085"
"58-105025.0008","WEST SALT RIVER VALLEY","2020","0 AF","426.74 AF","0%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","Y","","5377751"
"58-108190.0007","WEST SALT RIVER VALLEY","2025","14.53 AF","31.92 AF","219.68%","NONE","PHOENIX AMA","MARICOPA WATER DISTRICT","N","","5378074"
"58-101801.0002","WEST SALT RIVER VALLEY","2021","120.72 AF","816.74 AF","676.56%","59.49 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5379538"
"58-106186.0002","HASSAYAMPA","2024","309.38 AF","-2081.52 AF","-672.8%","NONE","PHOENIX AMA","ARLINGTON CANAL COMPANY","N","","5379675"
"58-100234.0005","ELOY","2018","33.21 AF","696.04 AF","2095.87%","30.94 AF","PINAL AMA","SAN CARLOS","N","","5325035"
"58-105433.0002","RAINBOW VALLEY","2024","72.75 AF","1309.5 AF","1800%","72.75 AF","PHOENIX AMA","","N","","5340010"
"58-107303.0001","MARICOPA-STANFIELD","2020","63.21 AF","2149.01 AF","3399.79%","63.21 AF","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5498057"
"58-110142.0013","WEST SALT RIVER VALLEY","2024","46.17 AF","555.95 AF","1204.14%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5525429"
"58-102990.0012","WEST SALT RIVER VALLEY","2024","123.64 AF","842.85 AF","681.7%","NONE","PHOENIX AMA","MARICOPA WATER DISTRICT","N","","5493220"
"58-107828.0001","MARICOPA-STANFIELD","2025","1911.21 AF","15803.6 AF","826.89%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5647814"
"58-113495.0014","EAST SALT RIVER VALLEY","2018","54.65 AF","708 AF","1295.52%","NONE","PHOENIX AMA","NEW MAGMA IRR & DRG DIST","N","","5898528"
"58-100188.0015","ELOY","2021","0 AF","153.78 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","6078545"
"58-104197.0015","EAST SALT RIVER VALLEY","2021","88.11 AF","427.32 AF","484.98%","49.62 AF","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","6068897"
"58-105531.0010","ELOY","2021","675.51 AF","12347.74 AF","1827.91%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6095871"
"58-104067.0029","MARICOPA-STANFIELD","2020","1158.56 AF","5369.14 AF","463.43%","213.56 AF","PINAL AMA","","N","","6529273"
"58-101000.0005","WEST SALT RIVER VALLEY","2019","2468.15 AF","36713.3 AF","1487.48%","1262.99 AF","PHOENIX AMA","MARICOPA WATER DISTRICT","N","","6556984"
"58-112544.0027","EAST SALT RIVER VALLEY","2025","50.35 AF","9.47 AF","18.81%","NONE","PHOENIX AMA","ROOSEVELT WATER CONSERVATION DISTRICT","N","","7103617"
"58-104365.0001","WEST SALT RIVER VALLEY","2024","379.7 AF","457.4 AF","120.46%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","7084586"
"58-101532.0004","WEST SALT RIVER VALLEY","2022","229.99 AF","-677.18 AF","-294.44%","28.66 AF","PHOENIX AMA","ST JOHNS IRRIGATION DISTRICT","N","","7227559"
"58-101318.0003","ELOY","2021","93.08 AF","0 AF","0%","NONE","PINAL AMA","SAN CARLOS","N","","7355207"
"58-130695.0005","WEST SALT RIVER VALLEY","2023","67.11 AF","1813.21 AF","2701.85%","67.11 AF","PHOENIX AMA","","N","","7637523"
"58-102742.0002","ELOY","2025","917.08 AF","775.65 AF","84.58%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","7756770"
"58-114619.0057","ELOY","2012","72.81 AF","1719.17 AF","2361.17%","72.81 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5019455"
"58-111841.0002","ELOY","2015","115.06 AF","676 AF","587.52%","NONE","PINAL AMA","","N","","5022083"
"58-103174.0004","AGUIRRE VALLEY","2017","1249.72 AF","30644.33 AF","2452.1%","1249.72 AF","PINAL AMA","","N","","5038526"
"58-103654.0012","ELOY","2011","0 AF","44777.08 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","5017120"
"58-111752.0003","ELOY","2014","0 AF","152.04 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","5032856"
"58-130312.0001","WEST SALT RIVER VALLEY","2009","0 AF","494.34 AF","0%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","Y","","5035172"
"58-101088.0001","ELOY","2014","794.81 AF","12864.69 AF","1618.59%","667.92 AF","PINAL AMA","SAN CARLOS","N","","5024781"
"58-100504.0003","ELOY","2008","0 AF","70.93 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","5141580"
"58-113786.0002","WEST SALT RIVER VALLEY","2008","70.32 AF","707.72 AF","1006.43%","18.42 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5023719"
"58-108715.0002","WEST SALT RIVER VALLEY","2017","57.88 AF","819.34 AF","1415.58%","57.88 AF","PHOENIX AMA","ST JOHNS IRRIGATION DISTRICT","N","","5027058"
"58-107803.0002","WEST SALT RIVER VALLEY","2011","319.43 AF","2166.98 AF","678.39%","NONE","PHOENIX AMA","BUCKEYE WTR CON & DRG DIST","N","","5133597"
"58-105251.0002","WEST SALT RIVER VALLEY","2010","42.77 AF","615.23 AF","1438.46%","NONE","PHOENIX AMA","","N","","5284810"
"58-105251.0002","WEST SALT RIVER VALLEY","2011","42.77 AF","615.23 AF","1438.46%","NONE","PHOENIX AMA","","N","","5284810"
"58-113447.0002","WEST SALT RIVER VALLEY","2016","298.16 AF","3137.07 AF","1052.14%","NONE","PHOENIX AMA","","N","","5349902"
"58-113447.0002","WEST SALT RIVER VALLEY","2017","298.16 AF","3158.61 AF","1059.37%","21.54 AF","PHOENIX AMA","","N","","5349902"
"58-105025.0007","WEST SALT RIVER VALLEY","2010","0 AF","1848.43 AF","0%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","Y","","5377740"
"58-112743.0012","ELOY","2012","0 AF","847.55 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","5665901"
"58-103604.0006","WEST SALT RIVER VALLEY","2013","13.51 AF","3.33 AF","24.65%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5661337"
"58-101839.0007","ELOY","2016","0 AF","1782.17 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","5921662"
"58-113169.0014","ELOY","2014","0 AF","89.85 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","5893703"
"58-103872.0003","ELOY","2012","2945.25 AF","17279.11 AF","586.68%","357.32 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6076109"
"58-114665.0004","AVRA VALLEY","2017","1347.68 AF","20336.33 AF","1508.99%","147.68 AF","TUCSON AMA","","N","","6418178"
"58-101350.0007","AVRA VALLEY","2017","1333.1 AF","7168.46 AF","537.73%","155.37 AF","TUCSON AMA","CORTARO MARANA IRRIG DISTRICT","N","","6697348"
"58-112636.0003","ELOY","2017","628.78 AF","7346.09 AF","1168.31%","95.67 AF","PINAL AMA","SAN CARLOS","N","","6681166"
"58-100085.0001","SANTA CRUZ AMA","2018","303.68 AF","7954.04 AF","2619.22%","303.68 AF","SANTA CRUZ AMA","","N","","4997135"
"58-100085.0001","SANTA CRUZ AMA","2022","303.68 AF","9168.76 AF","3019.22%","303.68 AF","SANTA CRUZ AMA","","N","","4997135"
"58-101088.0001","ELOY","2020","794.81 AF","16810.19 AF","2114.99%","610.57 AF","PINAL AMA","SAN CARLOS","N","","5024781"
"58-101856.0006","ELOY","2025","1498.91 AF","4733.94 AF","315.83%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5034899"
"58-106572.0001","ELOY","2023","357.36 AF","5771.64 AF","1615.08%","129.79 AF","PINAL AMA","SAN CARLOS","N","","5039490"
"58-113401.0001","WEST SALT RIVER VALLEY","2022","192.95 AF","823.34 AF","426.71%","4.98 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5024633"
"58-108715.0002","WEST SALT RIVER VALLEY","2019","57.88 AF","935.1 AF","1615.58%","57.88 AF","PHOENIX AMA","ST JOHNS IRRIGATION DISTRICT","N","","5027058"
"58-108715.0002","WEST SALT RIVER VALLEY","2023","57.88 AF","1166.62 AF","2015.58%","57.88 AF","PHOENIX AMA","ST JOHNS IRRIGATION DISTRICT","N","","5027058"
"58-100325.0006","ELOY","2025","243.75 AF","629.75 AF","258.36%","NONE","PINAL AMA","","N","","5150480"
"58-107830.0012","MARICOPA-STANFIELD","2024","909.09 AF","14679.67 AF","1614.77%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5360791"
"58-102615.0001","WEST SALT RIVER VALLEY","2021","115 AF","1620.15 AF","1408.83%","2.84 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5296278"
"58-111759.0006","ELOY","2022","0 AF","-20.37 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","5496408"
"58-103319.0003","WEST SALT RIVER VALLEY","2021","536.84 AF","1394.28 AF","259.72%","134.3 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5497466"
"58-103319.0003","WEST SALT RIVER VALLEY","2024","536.84 AF","1716.93 AF","319.82%","NONE","PHOENIX AMA","SALT RIVER PROJECT","N","","5497466"
"58-160008.0001","AVRA VALLEY","2024","255.78 AF","1607.42 AF","628.44%","NONE","TUCSON AMA","CORTARO MARANA IRRIG DISTRICT","N","","5519003"
"58-101829.0015","ELOY","2023","21.56 AF","338.54 AF","1570.22%","11.79 AF","PINAL AMA","SAN CARLOS","N","","5470555"
"58-104067.0024","MARICOPA-STANFIELD","2018","2365.42 AF","21712 AF","917.89%",".42 AF","PINAL AMA","","N","","5666302"
"58-102347.0006","ELOY","2021","122.31 AF","555.49 AF","454.17%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","N","","5667033"
"58-101553.0037","MARICOPA-STANFIELD","2021","26.61 AF","612.18 AF","2300.56%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5656232"
"58-100194.0002","ELOY","2025","58.22 AF","760.79 AF","1306.75%","NONE","PINAL AMA","","N","","5898167"
"58-104174.0009","MARICOPA-STANFIELD","2021","0 AF","5438.27 AF","0%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","Y","","5893364"
"58-111840.0002","ELOY","2021","0 AF","547.82 AF","0%","NONE","PINAL AMA","HOHOKAM IRRIGATION DISTRICT","Y","","5941262"
"58-103119.0005","WEST SALT RIVER VALLEY","2022","179.96 AF","3564.41 AF","1980.67%","116.4 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5928926"
"58-102428.0005","ELOY","2023","0 AF","5905.72 AF","0%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","Y","","5916367"
"58-109769.0003","WEST SALT RIVER VALLEY","2020","311.11 AF","6527.94 AF","2098.27%","173.4 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","6098620"
"58-104252.0002","WEST SALT RIVER VALLEY","2021","140.91 AF","1286.32 AF","912.87%","93.27 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","6044134"
"58-108081.0010","EAST SALT RIVER VALLEY","2025","0 AF","11645.44 AF","0%","NONE","PHOENIX AMA","NEW MAGMA IRR & DRG DIST","Y","","6398066"
"58-102623.0008","HASSAYAMPA","2025","567.82 AF","20788.41 AF","3661.09%","NONE","PHOENIX AMA","","N","","6514717"
"58-105508.0016","ELOY","2018","940.51 AF","10688.5 AF","1136.46%","149.51 AF","PINAL AMA","","N","","6529329"
"58-106041.0005","WEST SALT RIVER VALLEY","2022","48.61 AF","12.96 AF","26.66%","1.38 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","6368789"
"58-104327.0008","ELOY","2024","2788.35 AF","16252.57 AF","582.87%","NONE","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","6521000"
"58-103297.0004","WEST SALT RIVER VALLEY","2023","125.99 AF","1367.49 AF","1085.4%","31.17 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","6667316"
"58-102261.0004","WEST SALT RIVER VALLEY","2023","607.62 AF","-6605.49 AF","-1087.11%","NONE","PHOENIX AMA","BUCKEYE WTR CON & DRG DIST","N","","7350117"
"58-101178.0002","ELOY","2023","71.12 AF","2089.76 AF","2938.36%","25.27 AF","PINAL AMA","SAN CARLOS","N","","7372269"
"58-111337.0001","ELOY","2021","356.44 AF","7045.65 AF","1976.67%","89.73 AF","PINAL AMA","SAN CARLOS","N","","7372658"
"58-111337.0001","ELOY","2022","356.44 AF","7389.44 AF","2073.12%","343.79 AF","PINAL AMA","SAN CARLOS","N","","7372658"
"58-112825.0032","WEST SALT RIVER VALLEY","2025","134.36 AF","1686.51 AF","1255.22%","NONE","PHOENIX AMA","","N","","7497979"
"58-100119.0009","WEST SALT RIVER VALLEY","2024","926.4 AF","37014.19 AF","3995.49%","NONE","PHOENIX AMA","MARICOPA WATER DISTRICT","N","","7630194"
"58-109891.0007","AVRA VALLEY","2025","210.95 AF","1021.27 AF","484.13%","NONE","TUCSON AMA","CORTARO MARANA IRRIG DISTRICT","N","","7592473"
"58-104743.0007","AVRA VALLEY","2024","874.22 AF","23267.81 AF","2661.55%","NONE","TUCSON AMA","","N","","7724766"
"58-108502.0002","UPPER SANTA CRUZ","2005","63.73 AF","1169.87 AF","1835.67%","47.8 AF","TUCSON AMA","","N","","5017389"
"58-101404.0012","ELOY","2006","431.27 AF","2206.15 AF","511.55%","431.27 AF","PINAL AMA","CENTRAL ARIZONA IRRIGATION & DRAINAGE","N","","5029204"
"58-102966.0013","LITTLE CHINO","2012","65.05 AF","613.62 AF","943.31%","65.05 AF","PRESCOTT AMA","CHINO VALLEY IRRIGATION DIST.","N","","5000370"
"58-111230.0003","WEST SALT RIVER VALLEY","2013","98.34 AF","775.22 AF","788.31%","98.34 AF","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5141266"
"58-103840.0002","WEST SALT RIVER VALLEY","2014","95.14 AF","178.34 AF","187.45%","1.11 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5144858"
"58-114811.0007","EAST SALT RIVER VALLEY","2009","27.98 AF","212.48 AF","759.4%","27.98 AF","PHOENIX AMA","","N","","5480357"
"58-112026.0019","WEST SALT RIVER VALLEY","2008","106.4 AF","1049.64 AF","986.5%","88.32 AF","PHOENIX AMA","MARICOPA WATER DISTRICT","N","","5324952"
"58-102306.0036","EAST SALT RIVER VALLEY","2016","282.1 AF","3432.02 AF","1216.6%","274 AF","PHOENIX AMA","QUEEN CREEK IRRIGATION DIST","N","","5356379"
"58-107296.0001","MARICOPA-STANFIELD","2008","369.42 AF","1044.59 AF","282.76%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5499482"
"58-114184.0002","WEST SALT RIVER VALLEY","2009","164.84 AF","660.65 AF","400.78%","69.17 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5522373"
"58-108018.0021","AVRA VALLEY","2015","91.71 AF","888.98 AF","969.34%","20.76 AF","TUCSON AMA","CORTARO MARANA IRRIG DISTRICT","N","","5606584"
"58-103925.0005","SANTA CRUZ AMA","2013","411.88 AF","9761.14 AF","2369.9%","411.88 AF","SANTA CRUZ AMA","","N","","5666217"
"58-103655.0039","MARICOPA-STANFIELD","2016","96.16 AF","2765.52 AF","2875.96%","NONE","PINAL AMA","MARICOPA STANFIELD IRRIGATION & DRAINAGE","N","","5796473"
"58-100252.0021","WEST SALT RIVER VALLEY","2013","93.1 AF","2105.57 AF","2261.62%","93.1 AF","PHOENIX AMA","","N","","6079667"
"58-104133.0009","WEST SALT RIVER VALLEY","2015","843.05 AF","0 AF","0%","NONE","PHOENIX AMA","BUCKEYE WTR CON & DRG DIST","N","","6367897"
"58-102667.0001","AVRA VALLEY","2019","73.13 AF","2283.48 AF","3122.49%","73.13 AF","TUCSON AMA","","N","","4992027"
"58-102667.0001","AVRA VALLEY","2025","73.13 AF","2283.48 AF","3122.49%","NONE","TUCSON AMA","","N","","4992027"
"58-105224.0001","WEST SALT RIVER VALLEY","2022","39.97 AF","586.99 AF","1468.58%","8.4 AF","PHOENIX AMA","SALT RIVER PROJECT","N","","5041664"
"58-111230.0003","WEST SALT RIVER VALLEY","2024","98.34 AF","986.11 AF","1002.76%","NONE","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5141266"
"58-111693.0005","WEST SALT RIVER VALLEY","2018","112.42 AF","3476.18 AF","3092.14%","112.42 AF","PHOENIX AMA","ROOSEVELT IRRIGATION DISTRICT","N","","5149399"
